"original_url","subject","filename","version"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.ArealDistortion_FS.164k_fs_LR.dscalar.nii","177342","MNINonLinear//177342.ArealDistortion_FS.164k_fs_LR.dscalar.nii","FztlKHBnz0IvltTrooWZD1u6.BBu2xSA"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.ArealDistortion_MSMAll.164k_fs_LR.dscalar.nii","177342","MNINonLinear//177342.ArealDistortion_MSMAll.164k_fs_LR.dscalar.nii","WjIQMcDdW92F3Z5qri17zVlf5kWkakUz"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.ArealDistortion_MSMSulc.164k_fs_LR.dscalar.nii","177342","MNINonLinear//177342.ArealDistortion_MSMSulc.164k_fs_LR.dscalar.nii","3eBdORZaHU_JqQ557AUR18cRclSobDQI"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.BA.164k_fs_LR.dlabel.nii","177342","MNINonLinear//177342.BA.164k_fs_LR.dlabel.nii","M5AQHlpuEVbKYcrtFD0FLAYT01J1zvmP"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.EdgeDistortion_MSMAll.164k_fs_LR.dscalar.nii","177342","MNINonLinear//177342.EdgeDistortion_MSMAll.164k_fs_LR.dscalar.nii","EJdJAm1KEDjUQDknVzbj6fkG8OC39lE2"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.ArealDistortion_FS.164k_fs_LR.shape.gii","177342","MNINonLinear//177342.L.ArealDistortion_FS.164k_fs_LR.shape.gii","xz.iDTozrgAc5Q8ezISonxosstw7XzzL"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.ArealDistortion_MSMSulc.164k_fs_LR.shape.gii","177342","MNINonLinear//177342.L.ArealDistortion_MSMSulc.164k_fs_LR.shape.gii","6u9CW11FnTVsBwgjcET0sYQFm7KK6Dws"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.BA.164k_fs_LR.label.gii","177342","MNINonLinear//177342.L.BA.164k_fs_LR.label.gii","cXwB9Hkj_A_BSXuu0CeWuHmONWbG63jI"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.MyelinMap.164k_fs_LR.func.gii","177342","MNINonLinear//177342.L.MyelinMap.164k_fs_LR.func.gii","nKWhUZ4Y.G0Bdf5UMOsmpKzrdgJ7z6zu"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.MyelinMap_BC.164k_fs_LR.func.gii","177342","MNINonLinear//177342.L.MyelinMap_BC.164k_fs_LR.func.gii","KeO0syshOYNEQ.JO4kLTGyi9fSqm1J1t"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.RefMyelinMap.164k_fs_LR.func.gii","177342","MNINonLinear//177342.L.RefMyelinMap.164k_fs_LR.func.gii","dMoZalBTQ1.RFJvjrn6OWq279aUPcpap"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.SmoothedMyelinMap.164k_fs_LR.func.gii","177342","MNINonLinear//177342.L.SmoothedMyelinMap.164k_fs_LR.func.gii","wsbWrLEr0zW8UYc1RZh4sCFyWeCSEUbP"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.SmoothedMyelinMap_BC.164k_fs_LR.func.gii","177342","MNINonLinear//177342.L.SmoothedMyelinMap_BC.164k_fs_LR.func.gii","6mV1Nw3aZG0jRtw3yWVlbHeinQERm2JI"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.aparc.164k_fs_LR.label.gii","177342","MNINonLinear//177342.L.aparc.164k_fs_LR.label.gii","IDVZedb6xxCHxUOmaythcITf2WvQJD1u"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.aparc.a2009s.164k_fs_LR.label.gii","177342","MNINonLinear//177342.L.aparc.a2009s.164k_fs_LR.label.gii","DqXHfjWXQEOAWzwciXlrB228eHsibKfW"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.atlasroi.164k_fs_LR.shape.gii","177342","MNINonLinear//177342.L.atlasroi.164k_fs_LR.shape.gii","FSNK1772D5zS2me7cBDpiNIyz9n3vLki"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.corrThickness.164k_fs_LR.shape.gii","177342","MNINonLinear//177342.L.corrThickness.164k_fs_LR.shape.gii","rwnmXxCts2DyLJd.39UmGPuMc5cw6zzT"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.curvature.164k_fs_LR.shape.gii","177342","MNINonLinear//177342.L.curvature.164k_fs_LR.shape.gii","oPCVBf8QkgeCurJuxnNZCM.rifDFRHyi"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.flat.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.flat.164k_fs_LR.surf.gii","f0_SdUiFxIrFmOyVmErMbjvMps6Y0iMO"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.inflated.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.inflated.164k_fs_LR.surf.gii","E6U32dIJik8WX_t6ja.IzJ2iaJpfyNlW"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.inflated_MSMAll.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.inflated_MSMAll.164k_fs_LR.surf.gii","DOR1GxQaosTmc8txDindOUWgNCJzNvn1"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.midthickness.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.midthickness.164k_fs_LR.surf.gii","xwXhlscrimmIyN9i1V2g8tq4CSYCJHAv"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.midthickness_MSMAll.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.midthickness_MSMAll.164k_fs_LR.surf.gii","Wh3CUq8Da07yOyc9mkMUPPy21mxFK9Uo"
"s3://hcp-openaccess/HCP_1200/177342/MNINonLinear/177342.L.pial.164k_fs_LR.surf.gii","177342","MNINonLinear//177342.L.pial.164k_fs_LR.surf.gii","Ftod5L4oaGiQ9T8lg2SispfFyG244uLQ"
